"Time / ps","DonorIdx","AccptIdx","PHT / eV"
8750.0,39,106,-0.11923581979588427
8750.0,39,40,0.027362108968607017
8800.0,39,106,0.14706410495932884
8800.0,39,40,0.01891471452396465
8850.0,39,106,0.17998117929751264
8850.0,39,40,-0.005849266087778873
8900.0,39,106,0.1564173284600723
8900.0,39,40,-0.019592198497782858
8950.0,39,106,-0.17908708212202898
8950.0,39,40,-0.038405484867898625
9000.0,39,106,0.11344592036804864
9000.0,39,40,0.0022195374075168646
9050.0,39,106,0.16792994370898098
9050.0,39,40,-0.019463488999748743
9100.0,39,106,0.16410587290699538
9100.0,39,40,-0.03486406535521132
9150.0,39,106,0.0988821278558556
9150.0,39,40,-0.048815713774502174
9200.0,39,106,-0.09388058993582156
9200.0,39,40,0.016563936074557216
9250.0,39,106,0.20794845169637552
9250.0,39,40,0.029028040190157884
9300.0,39,106,0.17747077317385052
9300.0,39,40,-0.028564097963919555
9350.0,39,106,0.0953028971492837
9350.0,39,40,0.01450238321488635
9400.0,39,106,-0.16853478635564476
9400.0,39,40,0.02344028776537525
9450.0,39,106,0.23643861718107698
9450.0,39,40,-0.005584387573985235
9500.0,39,106,-0.11538099172643443
9500.0,39,40,-0.031223536585413342
9550.0,39,106,0.20880299918640086
9550.0,39,40,0.01855972213626756
9600.0,39,106,-0.1493932615694153
9600.0,39,40,-0.010559074611174396
9650.0,39,106,0.14484342584301765
9650.0,39,40,0.00661263283878656
9700.0,39,106,0.21799988020584182
9700.0,39,40,0.02713964556708538
9750.0,39,106,-0.1598533610654087
9750.0,39,40,-0.06630613274822644
9800.0,39,106,-0.161769003473754
9800.0,39,40,0.03396945499842345
9850.0,39,106,0.11761889449540784
9850.0,39,40,0.04639190937518183
9900.0,39,106,0.1858254822154671
9900.0,39,40,-0.012176063239905777
9950.0,39,106,-0.16283731007154495
9950.0,39,40,-0.00607025623768856
10000.0,39,106,0.17512864589873758
10000.0,39,40,0.045332757750546834
